"","202602 濟州島四寶團🇰🇷 日期/品項","現金 韓圜金額"," 付款人","信用卡 台幣金額"," 付款人"," 備註 ","","幣別：₩ 給🍋 Ziyu 🐟"," Mei 🐱","Xiu 🐵","","Ning 🍋 給 🐟 Ning 🍋","Ziyu 🐟  Mei 🐱","Xiu 🐵 Xiu 🐵","Mei 🐱 ","給 🐱 Ziyu 🐟"," Ning 🍋","Xiu 🐵","","給 🐵 Ziyu 🐟"," Ning 🍋"," Mei 🐱","","",""
"","711水","₩3,800","","$84",""," 💰","","","","","","","","","","","","","","","","","","",""
"","小計","₩269,550","","$5,921","","","","","","","","","","","","","","","","","","","","",""
"🍋","Hello Kitty紀念品","₩25,500","","",""," 💰","","","","","","","","","","","","","","","","","","",""
"","BLUE ELEPHANT墨鏡","₩94,800","","$2,075","","","","","","","","","","","","","","","","","","","","",""
"","地下街牛仔褲","₩40,000","","","","","","","","","","","","","","","","","","","","","","",""
"","MLB拖鞋","₩59,000","","",""," 💰","","","","","","","","","","","","","","","","","","",""
"🐟","SPAO上衣","₩23,900","","$521",""," Linepay","","","","","","","","","","","","","","","","","","",""
"","2月18日","","","","","","","","","","","","","","","","","","","","","","","",""
"共同","停車費","₩1,500","","$33","","","","","","","","","","","","","","","","$8","$8","$8","","",""
"","診所掛號停車費","₩3,000","","$66","","","","","","","","","","","","","","","","$16","$16","$16","","",""
"","鮑魚海螺飯麵","₩59,000","","$1,294","","","","","","","","","","","","","","","","","","","","",""
"","大蒜麵包","₩7,300","","$162",""," 💰","","","","","","","","","","","","","","","","","","",""
"","MGC*3","₩8,700","","$193",""," 💰","","","","","","","","","","","","","","","","","","",""
"","細花排骨","₩52,000","","$1,139","","","","","","","","","","","","","","","","","","","","",""
"","超市","₩20,460","","$455",""," 💰","","","","","","","","","","","","","","","","","","",""
"","小計","₩151,960","","$3,342","","","","","","","","","","","","","","","","","","","","",""
"🍋","咸德Oilve Young","₩180,080","","$3,942","","","","","","","","","","","","","","","","","","","","",""
"","橘子袋子","₩6,000","","",""," 💰","","","","","","","","","","","","","","","","","","",""
"🐟","藥局","₩11,000","","$241","","","","","","","","","","","","","","","","","","","","",""
"","橘子襪子伴手禮","₩18,000","","$394","","","","","","","","","","","","","","","","","","","","",""
"","咸德Oilve Young","₩124,350","","$2,724","","","","","","","","","","","","","","","","","","","","",""
"","2月19日","","","","","","","","","","","","","","","","","","","","","","","",""
"共同","偶來市場香蕉","₩3,000","","$67",""," 💰","","","","","","","","","","","","","","","","","","",""
"","花生","₩15,000","","$333",""," 💰","","","","","","","","","","","","","","","","","","",""
"","餃子","₩12,000","","$267",""," 💰","","","","","","","","","","","","","","","","","","",""
"","一袋橘子","₩5,000","","$110","","","","","","","","","","","","","","","","","","","","",""
"","停車費","₩1,500","","$33","","","","","","","","","","","","","","","","","","","","",""
"","加油","₩20,000","","$441","","","","","","","","","","","","","","","","","","","","",""
"","滿足的商會","₩126,000","","$2,763","","","","","","","","","","","","","","","","","","","","",""
"","星巴克","₩27,400","","$601","","","","","","","","","","","","","","","","","","","","",""
"","東門市場魚板*3","₩3,000","","$67",""," 💰","","","","","","","","","","","","","","","","","","",""
"","PHOTOISM拍照","₩5,000","","$111",""," 💰","","","","","","","","","","","","","","","","","","",""
"","UGLY Peanuts花生燒","₩5,000","","$111",""," 💰","","","","","","","","","","","","","","","","","","",""
"","中華料理炒碼麵","₩39,000","","$855","","","","","","","","","","","","","","","","","","","","",""
"","橡子漫畫四格","₩32,000","","$702","","","","","","","","","","","","","","","","","","","","",""
"","橡子漫畫畫框","₩17,000","","$378",""," 💰","","","","","","","","","","","","","","","","","","",""
"","停車費","₩7,500","","$164","","","","","","","","","","","","","","","","","","","","",""
"","小北百貨","₩12,080","","$268",""," 💰","","","","","","","","","","","","","","","","","","",""
"","小計","₩330,480","","$7,271","","","","","","","","","","","","","","","","","","","","",""
"分開結算","Oilve Young黑棗汁","₩65,460","","$1,437","","  🍋💳","","$265","$89","$542","","","","","","","","","","","","","","",""
"","   🍋 24675","","","","","","","","","","","","","","","","","","","","","","","",""
"","   🐟 12060","","","","","","","","","","","","","","","","","","","","","","","",""
"","    🐱 4050","","","","","","","","","","","","","","","","","","","","","","","",""
"","    🐵 24675","","","","","","","","","","","","","","","","","","","","","","","",""
"🍋","偶來市場絨褲","₩10,000","","",""," 💰","","","","","","","","","","","","","","","","","","",""
"","Garcontimide小店手機殼","₩31,500","","$691","","","","","","","","","","","","","","","","","","","","",""
"","橘子手鏡*8+小袋","₩37,000","","",""," 💰","","","","","","","","","","","","","","","","","","",""
"","地下街衣服3袋","₩150,000","","",""," 💰","","","","","","","","","","","","","","","","","","",""
"","POT衣服","₩66,000","","",""," 💰","","","","","","","","","","","","","","","","","","",""
"🐟","偶來市場橘子襪子鏡子","₩14,000","","$307","","","","","","","","","","","","","","","","","","","","",""
"","2月20日","","","","","","","","","","","","","","","","","","","","","","","",""
"共同","加油","₩20,000","","$440","","","","","","","","","","","","","","","","","","","","",""
"","倫敦貝果博物館","₩71,500","","$1,574","","","","","","","","","","","","","","","","","","","","",""
"","Snoopy鯛魚燒*3","₩10,000","","$222",""," 💰","","","","","","","","","","","","","","","","","","",""
"","鐵軌腳踏車","₩52,000","","$1,145","","","","","","","","","","","","","","","","","","","","",""
"","月汀里MOON咖啡","₩28,500","","$627","","","","","","","","","","","","","","","","","","","","",""
"","金寧海產店","₩119,000","","$2,619","","","","","","","","","","","","","","","","","","","","",""
"","炒年糕","₩15,500","","$341","","","","","","","","$85","$85","$85","","","","","","","","","","",""
"","小計","₩316,500","","$6,627","","","","","","","","","","","","","","","","","","","","",""
"🍋","回診","₩65,400","","$1,436","","","","","","","","","","","","","","","","","","","","",""
"","白咳嗽藥","₩10,020","","$220","","","","","","$220","","","","","","","","","","","","","","",""
"","Object","₩71,200","","","","","","","","","","","","","","","","","","","","","","",""
"","蓮洞衣服","₩90,000","","",""," 💰","","","","","","","","","","","","","","","","","","",""
"","小黃人衣服給岳杰","₩49,000","","",""," 💰","","","","","","","","","","","","","","","","","","",""
"🐟","Object行李束帶","₩15,000","","$330","","","","","","","","","","","","","","","","","","","","",""
"","2月21日","","","","","","","","","","","","","","","","","","","","","","","",""
"共同","蔘雞湯","₩72,000","","$1,578","","","","","","","","","","","","","","","","","","","","",""
"","停車費","₩7,000","","$156",""," WOWPASS","","","","","","$39","$39","$39","","","","","","","","","","",""
"","PAIK'S咖啡*3","₩6,000","","$132","","","","","","","","$33","$33","$33","","","","","","","","","","",""
"","加油","₩10,000","","$219","","","","","","","","","","","","","","","","","","","","",""
"","水*2","₩2,100","","$46","","","","","","","","$12","$12","$12","","","","","","","","","","",""
"","柱狀節理帶門票*4","₩8,000","","$175","","","","","","","","","","","","","","","","","","","","",""
"","停車費","₩2,000","","$44",""," 💰","","","","","","","","","","","","","","","","","","",""
"","辣燉魚海螺麵","₩77,000","","$1,688","","","","","","","","","","","","","","","","","","","","",""
"","加油","₩10,000","","$219","","","","","","","","","","","","","","","","","","","","",""
"","五月鰻魚","₩88,000","","$1,931","","","","","","","","","","","","","","","","","","","","",""
"","Olive Young黑棗汁*10","₩40,400","","$888","","","","","","","","","","","","","","","","","","","","",""
"","CU宵夜","₩7,000","","$156",""," WOWPASS","","","","","","$39","$39","$39","","","","","","","","","","",""
"","停車費","₩7,000","","$156",""," WOWPASS","","","","","","$39","$39","$39","","","","","","","","","","",""
"","小計","₩336,500","","$6,742","","","","","","","","","","","","","","","","","","","","",""
